slug,city,state,postal_code,derived_county,method,confidence,share,reason
"sun-lakes-pickleball-club-iron-oaks-slpcio","Sun Lakes",AZ,85248,"Pinal",zip_nearest_county_centroid,0.6,0.3668,"ZCTA spans 2 counties; nearest county centroid is 57 km away, next is 60 km (margin 3 km) — OVERRODE the larger-by-land-area candidate"
"indian-bend-park-tempe","Tempe",AZ,,"",none,0,,"no postal_code"
"saddlebrooke","Tucson",AZ,85739,"Pima",zip_nearest_county_centroid,0.78,0.1303,"ZCTA spans 2 counties; nearest county centroid is 77 km away, next is 86 km (margin 9 km) — OVERRODE the larger-by-land-area candidate"
"the-pad-tucson-pickleball","Tucson",AZ,,"",none,0,,"no postal_code"
"wickenburg-ranch","Wickenburg",AZ,85390,"Yavapai",zip_nearest_county_centroid,0.78,0.2374,"ZCTA spans 2 counties; nearest county centroid is 71 km away, next is 80 km (margin 9 km) — OVERRODE the larger-by-land-area candidate"
"wickenburg-sunset-park","Wickenburg",AZ,85390,"Maricopa",zip_nearest_county_centroid,0.6,0.7626,"ZCTA spans 2 counties; nearest county centroid is 73 km away, next is 76 km (margin 3 km)"
"albany-high-school","Albany",CA,94706,"Contra Costa",zip_nearest_county_centroid,0.78,0.0029,"ZCTA spans 2 counties; nearest county centroid is 31 km away, next is 43 km (margin 13 km) — OVERRODE the larger-by-land-area candidate"
"ocean-view-park","Albany",CA,94706,"Contra Costa",zip_nearest_county_centroid,0.78,0.0029,"ZCTA spans 2 counties; nearest county centroid is 31 km away, next is 43 km (margin 12 km) — OVERRODE the larger-by-land-area candidate"
"ocean-view-tennis-courts","Albany",CA,94706,"Contra Costa",zip_nearest_county_centroid,0.78,0.0029,"ZCTA spans 2 counties; nearest county centroid is 31 km away, next is 43 km (margin 12 km) — OVERRODE the larger-by-land-area candidate"
"auburn-racquet-fitness-club","Auburn",CA,95603,"Placer",zip_nearest_county_centroid,0.78,1,"ZCTA spans 2 counties; nearest county centroid is 34 km away, next is 49 km (margin 16 km)"
"auburn-recreation-park","Auburn",CA,95603,"Placer",zip_nearest_county_centroid,0.78,1,"ZCTA spans 2 counties; nearest county centroid is 36 km away, next is 49 km (margin 12 km)"
"auburn-regional-park","Auburn",CA,95603,"Placer",zip_nearest_county_centroid,0.78,1,"ZCTA spans 2 counties; nearest county centroid is 36 km away, next is 48 km (margin 13 km)"
"millertown-pickleball-club","Auburn",CA,95603,"Placer",zip_nearest_county_centroid,0.78,1,"ZCTA spans 2 counties; nearest county centroid is 36 km away, next is 48 km (margin 13 km)"
"pine-hills-adventist-academy","Auburn",CA,95603,"Placer",zip_nearest_county_centroid,0.78,1,"ZCTA spans 2 counties; nearest county centroid is 36 km away, next is 48 km (margin 13 km)"
"school-park-preserve","Auburn",CA,95603,"Placer",zip_nearest_county_centroid,0.78,1,"ZCTA spans 2 counties; nearest county centroid is 35 km away, next is 48 km (margin 13 km)"
"cedar-rose-pickleball-courts","Berkeley",CA,94708,"Contra Costa",zip_nearest_county_centroid,0.78,0.5836,"ZCTA spans 2 counties; nearest county centroid is 29 km away, next is 40 km (margin 12 km)"
"calistoga","Calistoga",CA,94515,"Napa",zip_nearest_county_centroid,0.6,0.4935,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 31 km (margin 7 km) — OVERRODE the larger-by-land-area candidate"
"calistoga-high-school-tennis-pickleball-courts","Calistoga",CA,94515,"Napa",zip_nearest_county_centroid,0.6,0.4935,"ZCTA spans 2 counties; nearest county centroid is 24 km away, next is 31 km (margin 7 km) — OVERRODE the larger-by-land-area candidate"
"solage-calistoga","Calistoga",CA,94515,"Napa",zip_nearest_county_centroid,0.78,0.4935,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 32 km (margin 9 km) — OVERRODE the larger-by-land-area candidate"
"carlsbad-senior-center","Carlsbad",CA,,"",none,0,,"no postal_code"
